Input_Degree,Input_Weight,Control_Degree,Control_Weight,MinW20
3,3,17,9,39
3,3,17,9,39
3,3,17,7,41
3,3,17,9,39
3,3,17,7,41
3,3,17,9,40
3,3,17,9,42
3,3,17,9,46
3,3,17,9,40
3,3,17,9,40
3,3,17,9,40
3,3,17,9,39
3,3,17,9,46
3,3,17,11,39
3,3,17,7,41
3,3,17,9,41
3,3,17,9,40
3,3,17,11,49
3,3,17,9,38
3,3,17,11,44
3,3,17,9,40
3,3,17,9,39
3,3,17,11,41
3,3,17,11,38
3,3,17,11,50
3,3,17,11,41
3,3,17,11,43
3,3,17,11,39
3,3,17,5,39
3,3,17,7,41
3,3,17,7,40
3,3,17,7,39
3,3,17,7,41
3,3,17,7,39
3,3,17,7,45
3,3,17,5,43
3,3,17,7,42
3,3,17,7,45
3,3,17,7,38
3,3,17,7,41
3,3,17,7,41
3,3,17,9,40
3,3,17,9,41
3,3,17,9,39
3,3,17,9,38
3,3,17,7,43
3,3,17,7,38
3,3,17,9,41
3,3,17,7,41
3,3,17,7,39
3,3,17,9,40
3,3,17,9,44
3,3,17,9,41
3,3,17,9,41
3,3,17,9,42
3,3,17,9,44
3,3,17,9,40
3,3,17,5,42
3,3,17,7,40
3,3,17,7,40
3,3,17,7,42
3,3,17,7,42
3,3,17,9,39
3,3,17,7,40
3,3,17,9,39
3,3,17,9,41
3,3,17,7,40
3,3,17,9,40
3,3,17,9,38
3,3,17,9,39
3,3,17,9,42
3,3,17,9,38
3,3,17,9,40
3,3,17,9,41
3,3,17,9,43
3,3,17,7,44
3,3,17,9,40
3,3,17,9,37
3,3,17,9,43
3,3,17,9,42
3,3,17,11,42
3,3,17,9,40
3,3,17,9,38
3,3,17,11,39
3,3,17,11,40
3,3,17,9,42
3,3,17,11,40
3,3,17,11,40
3,3,17,7,41
3,3,17,7,41
3,3,17,9,37
3,3,17,7,42
3,3,17,7,39
3,3,17,9,43
3,3,17,9,38
3,3,17,7,41
3,3,17,7,40
3,3,17,9,41
3,3,17,7,41
3,3,17,9,44
3,3,17,9,39
3,3,17,11,42
3,3,17,9,40
3,3,17,11,39
3,3,17,11,38
3,3,17,7,41
3,3,17,9,39
3,3,17,9,46
3,3,17,9,41
3,3,17,9,40
3,3,17,9,43
3,3,17,11,40
3,3,17,11,36
3,3,17,7,41
3,3,17,9,39
3,3,17,9,41
3,3,17,9,50
3,3,17,11,37
3,3,17,9,38
3,3,17,7,40
3,3,17,9,40
3,3,17,9,43
3,3,17,7,40
3,3,17,9,50
3,3,17,9,39
3,3,17,11,41
3,3,17,11,38
3,3,17,9,39
3,3,17,9,40
3,3,17,11,42
3,3,17,9,39
3,3,17,11,40
3,3,17,9,43
3,3,17,9,39
3,3,17,11,39
3,3,17,9,42
3,3,17,9,40
3,3,17,9,40
3,3,17,11,38
3,3,17,9,45
3,3,17,9,42
3,3,17,9,38
3,3,17,13,41
3,3,17,11,39
3,3,17,11,40
3,3,17,11,41
3,3,17,13,37
3,3,17,13,39
3,3,17,5,46
3,3,17,5,42
3,3,17,5,43
3,3,17,7,41
3,3,17,7,39
3,3,17,7,42
3,3,17,7,40
3,3,17,5,41
3,3,17,7,40
3,3,17,7,42
3,3,17,7,41
3,3,17,5,39
3,3,17,7,38
3,3,17,7,47
3,3,17,7,42
3,3,17,7,40
3,3,17,9,39
3,3,17,7,42
3,3,17,9,42
3,3,17,5,38
3,3,17,5,40
3,3,17,5,44
3,3,17,7,40
3,3,17,9,41
3,3,17,7,39
3,3,17,9,43
3,3,17,9,39
3,3,17,7,43
3,3,17,9,42
3,3,17,9,41
3,3,17,7,38
3,3,17,7,40
3,3,17,9,41
3,3,17,9,39
3,3,17,7,44
3,3,17,5,45
3,3,17,5,45
3,3,17,7,52
3,3,17,7,39
3,3,17,7,44
3,3,17,9,39
3,3,17,7,41
3,3,17,9,38
3,3,17,7,39
3,3,17,7,39
3,3,17,9,44
3,3,17,7,40
3,3,17,9,39
3,3,17,9,38
3,3,17,9,40
3,3,17,9,44
3,3,17,11,40
3,3,17,5,39
3,3,17,7,40
3,3,17,7,39
3,3,17,9,36
3,3,17,9,40
3,3,17,7,41
3,3,17,9,46
3,3,17,9,38
3,3,17,9,40
3,3,17,7,39
3,3,17,9,40
3,3,17,9,39
3,3,17,11,44
3,3,17,9,44
3,3,17,9,40
3,3,17,11,40
3,3,17,5,40
3,3,17,7,43
3,3,17,7,38
3,3,17,7,41
3,3,17,5,47
3,3,17,7,41
3,3,17,7,39
3,3,17,7,38
3,3,17,7,39
3,3,17,9,38
3,3,17,7,40
3,3,17,9,41
3,3,17,7,42
3,3,17,7,38
3,3,17,9,41
3,3,17,7,37
3,3,17,9,40
3,3,17,9,41
3,3,17,5,40
3,3,17,7,41
3,3,17,7,42
3,3,17,7,42
3,3,17,9,39
3,3,17,7,42
3,3,17,9,42
3,3,17,9,40
3,3,17,9,40
3,3,17,9,37
3,3,17,7,40
3,3,17,7,39
3,3,17,9,44
3,3,17,7,40
3,3,17,7,41
3,3,17,9,41
3,3,17,9,42
3,3,17,9,42
3,3,17,9,44
3,3,17,9,39
3,3,17,9,39
3,3,17,9,39
3,3,17,9,38
3,3,17,9,40
3,3,17,9,38
3,3,17,11,41
3,3,17,11,42
3,3,17,7,40
3,3,17,7,39
3,3,17,9,43
3,3,17,9,41
3,3,17,9,43
3,3,17,11,41
3,3,17,11,43
3,3,17,11,39
3,3,17,11,42
3,3,17,9,40
3,3,17,9,38
3,3,17,9,40
3,3,17,11,40
3,3,17,11,44
3,3,17,13,39
3,3,17,7,40
3,3,17,9,45
3,3,17,5,40
3,3,17,7,41
3,3,17,7,38
3,3,17,7,43
3,3,17,7,45
3,3,17,9,39
3,3,17,9,43
3,3,17,7,44
3,3,17,7,39
3,3,17,7,41
3,3,17,7,42
3,3,17,9,39
3,3,17,9,42
3,3,17,7,42
3,3,17,7,48
3,3,17,7,45
3,3,17,9,40
3,3,17,9,41
3,3,17,9,38
3,3,17,7,42
3,3,17,7,42
3,3,17,9,43
3,3,17,9,39
3,3,17,7,39
3,3,17,11,42
3,3,17,9,41
3,3,17,9,41
3,3,17,9,42
3,3,17,7,43
3,3,17,7,41
3,3,17,9,40
3,3,17,9,41
3,3,17,9,42
3,3,17,7,39
3,3,17,9,41
3,3,17,7,38
3,3,17,9,45
3,3,17,9,42
3,3,17,11,40
3,3,17,11,39
3,3,17,11,38
3,3,17,7,45
3,3,17,7,42
3,3,17,9,43
3,3,17,9,40
3,3,17,9,38
3,3,17,11,42
3,3,17,9,40
3,3,17,11,41
3,3,17,7,40
3,3,17,9,39
3,3,17,9,42
3,3,17,11,43
3,3,17,9,40
3,3,17,9,41
3,3,17,11,39
3,3,17,11,40
3,3,17,9,40
3,3,17,11,40
3,3,17,13,47
3,3,17,7,39
3,3,17,7,42
3,3,17,7,37
3,3,17,9,41
3,3,17,9,40
3,3,17,11,41
3,3,17,9,42
3,3,17,9,42
3,3,17,9,41
3,3,17,11,42
3,3,17,9,39
3,3,17,9,43
3,3,17,9,39
3,3,17,9,40
3,3,17,7,39
3,3,17,9,38
3,3,17,11,41
3,3,17,7,39
3,3,17,9,40
3,3,17,9,37
3,3,17,9,41
3,3,17,9,40
3,3,17,9,39
3,3,17,9,40
3,3,17,11,39
3,3,17,9,41
3,3,17,11,41
3,3,17,11,39
3,3,17,11,42
3,3,17,11,42
3,3,17,9,41
3,3,17,9,39
3,3,17,9,37
3,3,17,9,39
3,3,17,11,40
3,3,17,11,40
3,3,17,9,41
3,3,17,9,45
3,3,17,9,40
3,3,17,9,40
3,3,17,11,39
3,3,17,11,46
3,3,17,11,43
3,3,17,7,40
3,3,17,9,42
3,3,17,9,39
3,3,17,11,40
3,3,17,9,42
3,3,17,11,38
3,3,17,9,39
3,3,17,11,42
3,3,17,13,47
3,3,17,11,38
3,3,17,11,45
3,3,17,11,39
3,3,17,11,40
3,3,17,11,41
3,3,17,11,39
3,3,17,5,42
3,3,17,5,44
3,3,17,7,40
3,3,17,5,41
3,3,17,7,42
3,3,17,5,39
3,3,17,7,51
3,3,17,7,41
3,3,17,7,42
3,3,17,7,39
3,3,17,7,41
3,3,17,9,40
3,3,17,7,39
3,3,17,9,39
3,3,17,7,44
3,3,17,7,45
3,3,17,9,43
3,3,17,9,42
3,3,17,9,45
3,3,17,9,41
3,3,17,7,38
3,3,17,9,43
3,3,17,5,40
3,3,17,7,50
3,3,17,7,38
3,3,17,7,42
3,3,17,11,41
3,3,17,7,37
3,3,17,9,38
3,3,17,9,40
3,3,17,9,39
3,3,17,9,44
3,3,17,9,41
3,3,17,11,43
3,3,17,11,43
3,3,17,7,40
3,3,17,7,37
3,3,17,7,41
3,3,17,7,41
3,3,17,9,42
3,3,17,9,43
3,3,17,7,43
3,3,17,9,41
3,3,17,9,39
3,3,17,9,43
3,3,17,11,47
3,3,17,9,38
3,3,17,9,45
3,3,17,11,41
3,3,17,9,43
3,3,17,7,40
3,3,17,9,38
3,3,17,9,40
3,3,17,9,41
3,3,17,9,43
3,3,17,9,41
3,3,17,7,42
3,3,17,9,39
3,3,17,9,41
3,3,17,11,41
3,3,17,7,40
3,3,17,9,41
3,3,17,9,42
3,3,17,9,40
3,3,17,11,44
3,3,17,9,44
3,3,17,11,37
3,3,17,11,43
3,3,17,7,39
3,3,17,7,46
3,3,17,7,38
3,3,17,7,40
3,3,17,7,43
3,3,17,7,40
3,3,17,9,40
3,3,17,7,38
3,3,17,9,39
3,3,17,9,39
3,3,17,9,44
3,3,17,9,39
3,3,17,9,41
3,3,17,9,38
3,3,17,9,46
3,3,17,7,41
3,3,17,9,38
3,3,17,9,40
3,3,17,9,42
3,3,17,11,52
3,3,17,9,44
3,3,17,9,39
3,3,17,9,41
3,3,17,9,39
3,3,17,11,40
3,3,17,11,38
3,3,17,9,40
3,3,17,9,40
3,3,17,11,38
3,3,17,9,41
3,3,17,9,39
3,3,17,9,39
3,3,17,11,39
3,3,17,9,39
3,3,17,9,41
3,3,17,9,41
3,3,17,9,39
3,3,17,11,42
3,3,17,11,41
3,3,17,11,38
3,3,17,11,40
3,3,17,7,43
3,3,17,9,38
3,3,17,9,37
3,3,17,11,40
3,3,17,9,40
3,3,17,9,41
3,3,17,11,43
3,3,17,11,40
3,3,17,13,40
3,3,17,9,42
3,3,17,11,46
3,3,17,11,39
3,3,17,11,40
3,3,17,11,40
3,3,17,11,40
3,3,17,7,40
3,3,17,7,40
3,3,17,9,38
3,3,17,9,41
3,3,17,7,40
3,3,17,9,40
3,3,17,9,41
3,3,17,7,38
3,3,17,9,38
3,3,17,9,41
3,3,17,7,39
3,3,17,11,39
3,3,17,9,39
3,3,17,11,38
3,3,17,7,39
3,3,17,9,38
3,3,17,9,40
3,3,17,11,41
3,3,17,9,43
3,3,17,9,38
3,3,17,9,56
3,3,17,11,38
3,3,17,9,38
3,3,17,11,44
3,3,17,11,49
3,3,17,9,44
3,3,17,9,38
3,3,17,9,44
3,3,17,9,38
3,3,17,7,37
3,3,17,9,41
3,3,17,9,39
3,3,17,9,46
3,3,17,11,38
3,3,17,11,42
3,3,17,9,43
3,3,17,9,42
3,3,17,11,42
3,3,17,11,45
3,3,17,11,38
3,3,17,11,42
3,3,17,13,39
3,3,17,9,39
3,3,17,9,41
3,3,17,11,42
3,3,17,11,39
3,3,17,11,41
3,3,17,11,42
3,3,17,9,41
3,3,17,11,46
3,3,17,9,39
3,3,17,11,40
3,3,17,13,39
3,3,17,13,41
3,3,17,9,40
3,3,17,9,44
3,3,17,9,43
3,3,17,9,46
3,3,17,11,39
3,3,17,11,38
3,3,17,9,39
3,3,17,11,42
3,3,17,11,40
3,3,17,9,45
3,3,17,11,38
3,3,17,11,39
3,3,17,9,38
3,3,17,9,43
3,3,17,11,42
3,3,17,9,41
3,3,17,11,42
3,3,17,9,39
3,3,17,11,38
3,3,17,11,38
3,3,17,9,37
3,3,17,11,44
3,3,17,11,42
3,3,17,9,39
3,3,17,9,37
3,3,17,11,39
3,3,17,11,42
3,3,17,13,47
3,3,17,7,39
3,3,17,11,39
3,3,17,11,42
3,3,17,11,48
3,3,17,9,45
3,3,17,11,40
3,3,17,9,42
3,3,17,9,43
3,3,17,11,42
3,3,17,11,42
3,3,17,11,41
3,3,17,11,52
3,3,17,13,40
3,3,17,11,42
3,3,17,11,41
3,3,17,11,43
3,3,17,11,38
3,3,17,11,39
3,3,17,11,42
3,3,17,11,44
3,3,17,11,43
3,3,17,13,40
3,3,17,11,41
3,3,17,11,39
3,3,17,11,38
3,3,17,13,45
3,3,17,13,38
3,3,17,13,39
3,3,17,13,37
3,3,17,13,43
3,3,17,3,46
3,3,17,5,38
3,3,17,7,39
3,3,17,7,39
3,3,17,7,39
3,3,17,7,37
3,3,17,7,39
3,3,17,5,43
3,3,17,5,42
3,3,17,7,39
3,3,17,7,38
3,3,17,7,45
3,3,17,7,38
3,3,17,7,40
3,3,17,7,40
3,3,17,7,40
3,3,17,7,45
3,3,17,9,39
3,3,17,9,44
3,3,17,7,39
3,3,17,7,41
3,3,17,9,39
3,3,17,7,37
3,3,17,7,39
3,3,17,9,41
3,3,17,7,41
3,3,17,7,51
3,3,17,9,45
3,3,17,9,43
3,3,17,5,42
3,3,17,5,40
3,3,17,7,39
3,3,17,7,40
3,3,17,9,38
3,3,17,7,40
3,3,17,7,39
3,3,17,7,39
3,3,17,7,39
3,3,17,9,40
3,3,17,9,43
3,3,17,9,40
3,3,17,5,39
3,3,17,7,38
3,3,17,7,47
3,3,17,9,49
3,3,17,9,46
3,3,17,9,39
3,3,17,9,41
3,3,17,11,38
3,3,17,11,39
3,3,17,5,43
3,3,17,5,40
3,3,17,7,40
3,3,17,7,42
3,3,17,9,38
3,3,17,9,47
3,3,17,9,40
3,3,17,7,38
3,3,17,9,38
3,3,17,7,40
3,3,17,9,39
3,3,17,7,47
3,3,17,9,45
3,3,17,9,39
3,3,17,7,37
3,3,17,7,39
3,3,17,7,45
3,3,17,9,48
3,3,17,9,39
3,3,17,9,40
3,3,17,9,38
3,3,17,9,41
3,3,17,7,40
3,3,17,11,41
3,3,17,7,39
3,3,17,9,41
3,3,17,9,38
3,3,17,11,42
3,3,17,7,41
3,3,17,7,41
3,3,17,7,38
3,3,17,9,43
3,3,17,7,42
3,3,17,7,42
3,3,17,9,40
3,3,17,7,40
3,3,17,9,38
3,3,17,9,43
3,3,17,9,40
3,3,17,9,42
3,3,17,11,39
3,3,17,9,50
3,3,17,9,41
3,3,17,9,39
3,3,17,9,40
3,3,17,9,41
3,3,17,9,39
3,3,17,11,40
3,3,17,11,42
3,3,17,9,45
3,3,17,9,39
3,3,17,9,39
3,3,17,11,40
3,3,17,9,39
3,3,17,9,41
3,3,17,9,39
3,3,17,11,38
3,3,17,11,43
3,3,17,9,38
3,3,17,11,40
3,3,17,11,43
3,3,17,13,37
3,3,17,7,41
3,3,17,5,39
3,3,17,7,40
3,3,17,7,42
3,3,17,7,40
3,3,17,7,45
3,3,17,9,44
3,3,17,7,45
3,3,17,7,41
3,3,17,9,39
3,3,17,7,41
3,3,17,7,40
3,3,17,7,42
3,3,17,7,41
3,3,17,7,40
3,3,17,9,40
3,3,17,9,42
3,3,17,9,42
3,3,17,9,40
3,3,17,7,52
3,3,17,7,39
3,3,17,7,42
3,3,17,9,41
3,3,17,9,41
3,3,17,7,43
3,3,17,7,44
3,3,17,9,40
3,3,17,9,40
3,3,17,7,43
3,3,17,9,41
3,3,17,11,38
3,3,17,9,43
3,3,17,9,41
3,3,17,7,40
3,3,17,9,40
3,3,17,7,39
3,3,17,9,43
3,3,17,9,40
3,3,17,7,41
3,3,17,9,39
3,3,17,9,42
3,3,17,7,43
3,3,17,9,44
3,3,17,7,36
3,3,17,7,39
3,3,17,9,44
3,3,17,9,40
3,3,17,9,43
3,3,17,9,39
3,3,17,9,38
3,3,17,9,43
3,3,17,9,40
3,3,17,11,41
3,3,17,11,39
3,3,17,7,42
3,3,17,9,38
3,3,17,9,41
3,3,17,9,41
3,3,17,9,42
3,3,17,9,39
3,3,17,9,39
3,3,17,11,45
3,3,17,11,41
3,3,17,13,41
3,3,17,7,44
3,3,17,7,42
3,3,17,9,40
3,3,17,7,41
3,3,17,9,38
3,3,17,7,40
3,3,17,7,41
3,3,17,9,46
3,3,17,7,38
3,3,17,9,38
3,3,17,9,41
3,3,17,7,38
3,3,17,9,45
3,3,17,11,40
3,3,17,11,38
3,3,17,9,40
3,3,17,11,41
3,3,17,11,40
3,3,17,9,42
3,3,17,7,38
3,3,17,9,43
3,3,17,9,37
3,3,17,7,40
3,3,17,9,36
3,3,17,11,39
3,3,17,9,41
3,3,17,11,40
3,3,17,9,38
3,3,17,9,41
3,3,17,11,40
3,3,17,11,44
3,3,17,7,42
3,3,17,7,42
3,3,17,9,40
3,3,17,9,39
3,3,17,9,41
3,3,17,11,40
3,3,17,9,39
3,3,17,9,40
3,3,17,9,41
3,3,17,9,42
3,3,17,9,42
3,3,17,11,40
3,3,17,11,42
3,3,17,9,39
3,3,17,9,40
3,3,17,11,40
3,3,17,9,45
3,3,17,9,41
3,3,17,11,42
3,3,17,11,44
3,3,17,11,42
3,3,17,9,45
3,3,17,11,38
3,3,17,11,38
3,3,17,9,49
3,3,17,11,40
3,3,17,11,41
3,3,17,13,41
3,3,17,13,38
3,3,17,5,39
3,3,17,5,42
3,3,17,7,37
3,3,17,7,40
3,3,17,5,41
3,3,17,7,41
3,3,17,7,40
3,3,17,7,41
3,3,17,7,44
3,3,17,9,39
3,3,17,9,49
3,3,17,9,42
3,3,17,9,40
3,3,17,9,42
3,3,17,11,43
3,3,17,5,42
3,3,17,7,41
3,3,17,7,40
3,3,17,9,43
3,3,17,9,40
3,3,17,7,37
3,3,17,9,39
3,3,17,7,40
3,3,17,9,37
3,3,17,9,40
3,3,17,9,38
3,3,17,9,42
3,3,17,9,38
3,3,17,11,45
3,3,17,9,39
3,3,17,11,41
3,3,17,7,40
3,3,17,7,38
3,3,17,7,40
3,3,17,7,40
3,3,17,9,38
3,3,17,9,39
3,3,17,9,41
3,3,17,11,39
3,3,17,9,39
3,3,17,9,48
3,3,17,9,38
3,3,17,11,40
3,3,17,9,39
3,3,17,9,40
3,3,17,11,39
3,3,17,9,38
3,3,17,9,41
3,3,17,9,44
3,3,17,9,41
3,3,17,9,41
3,3,17,9,44
3,3,17,9,41
3,3,17,11,43
3,3,17,11,38
3,3,17,11,40
3,3,17,7,43
3,3,17,7,38
3,3,17,7,40
3,3,17,7,42
3,3,17,9,44
3,3,17,9,41
3,3,17,7,38
3,3,17,9,41
3,3,17,9,39
3,3,17,7,42
3,3,17,9,40
3,3,17,9,38
3,3,17,9,39
3,3,17,11,41
3,3,17,9,41
3,3,17,9,39
3,3,17,11,39
3,3,17,11,39
3,3,17,7,39
3,3,17,7,40
3,3,17,9,40
3,3,17,9,38
3,3,17,9,41
3,3,17,9,44
3,3,17,9,47
3,3,17,9,40
3,3,17,9,39
3,3,17,9,40
3,3,17,11,39
3,3,17,11,41
3,3,17,9,40
3,3,17,11,39
3,3,17,7,41
3,3,17,9,44
3,3,17,9,40
3,3,17,9,42
3,3,17,9,39
3,3,17,9,42
3,3,17,11,40
3,3,17,9,39
3,3,17,9,47
3,3,17,9,41
3,3,17,9,40
3,3,17,9,39
3,3,17,11,45
3,3,17,11,39
3,3,17,13,42
3,3,17,11,40
3,3,17,11,40
3,3,17,11,41
3,3,17,9,41
3,3,17,11,41
3,3,17,11,43
3,3,17,11,41
3,3,17,9,40
3,3,17,9,39
3,3,17,9,40
3,3,17,11,43
3,3,17,11,42
3,3,17,11,40
3,3,17,5,40
3,3,17,7,39
3,3,17,7,38
3,3,17,7,42
3,3,17,9,40
3,3,17,9,42
3,3,17,9,39
3,3,17,9,40
3,3,17,7,42
3,3,17,7,39
3,3,17,9,37
3,3,17,9,39
3,3,17,9,38
3,3,17,11,37
3,3,17,11,40
3,3,17,9,39
3,3,17,9,40
3,3,17,11,40
3,3,17,7,46
3,3,17,9,40
3,3,17,9,41
3,3,17,11,40
3,3,17,9,42
3,3,17,9,39
3,3,17,9,39
3,3,17,11,39
3,3,17,11,40
3,3,17,11,44
3,3,17,11,45
3,3,17,7,43
3,3,17,9,41
3,3,17,9,37
3,3,17,7,42
3,3,17,9,39
3,3,17,11,51
3,3,17,7,43
3,3,17,9,41
3,3,17,9,41
3,3,17,9,45
3,3,17,9,44
3,3,17,11,39
3,3,17,11,40
3,3,17,9,40
3,3,17,9,40
3,3,17,11,41
3,3,17,11,42
3,3,17,9,44
3,3,17,9,40
3,3,17,11,41
3,3,17,11,42
3,3,17,9,42
3,3,17,11,39
3,3,17,11,39
3,3,17,11,41
3,3,17,11,40
3,3,17,11,44
3,3,17,11,40
3,3,17,11,38
3,3,17,9,40
3,3,17,7,45
3,3,17,9,39
3,3,17,11,40
3,3,17,9,39
3,3,17,11,41
3,3,17,11,37
3,3,17,9,39
